❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 38/120  training loss: 0.40  train accuracy: 86.60%  duration: 8.63s
 batch: 39/120  training loss: 0.51  train accuracy: 85.20%  duration: 8.59s
 batch: 40/120  training loss: 0.54  train accuracy: 82.40%  duration: 8.85s
 batch: 41/120  training loss: 0.55  train accuracy: 81.20%  duration: 8.80s
 batch: 42/120  training loss: 0.59  train accuracy: 81.40%  duration: 8.53s
 batch: 43/120  training loss: 0.55  train accuracy: 85.80%  duration: 8.48s
 batch: 44/120  training loss: 0.43  train accuracy: 88.80%  duration: 8.10s
 batch: 45/120  training loss: 0.53  train accuracy: 85.20%  duration: 8.29s
 batch: 46/120  training loss: 0.43  train accuracy: 87.80%  duration: 8.36s
 batch: 47/120  training loss: 0.51  train accuracy: 85.20%  duration: 8.02s
 batch: 48/120  training loss: 0.43  train accuracy: 86.80%  duration: 8.09s
 batch: 49/120  training loss: 0.48  train accuracy: 87.80%  duration: 8.00s
 batch: 50/120  training loss: 0.45  train accuracy: 85.40%  duration: 8.09s
 batch: 51/120  training loss: 0.44  train accuracy: 85.60%  duration: 7.91s
 batch: 52/120  training loss: 0.54  train accuracy: 83.40%  duration: 7.65s
 batch: 53/120  training loss: 0.52  train accuracy: 84.20%  duration: 7.83s
 batch: 54/120  training loss: 0.51  train accuracy: 85.80%  duration: 8.23s
 batch: 55/120  training loss: 0.46  train accuracy: 86.60%  duration: 8.17s
 batch: 56/120  training loss: 0.51  train accuracy: 84.40%  duration: 8.24s
 batch: 57/120  training loss: 0.45  train accuracy: 86.40%  duration: 7.87s
 batch: 58/120  training loss: 0.45  train accuracy: 86.00%  duration: 7.87s
 batch: 59/120  training loss: 0.45  train accuracy: 88.80%  duration: 7.88s
 batch: 60/120  training loss: 0.47  train accuracy: 86.00%  duration: 7.87s
 batch: 61/120  training loss: 0.55  train accuracy: 82.80%  duration: 7.93s
 batch: 62/120  training loss: 0.51  train accuracy: 84.80%  duration: 8.36s
 batch: 63/120  training loss: 0.50  train accuracy: 84.60%  duration: 8.08s
 batch: 64/120  training loss: 0.52  train accuracy: 84.80%  duration: 8.18s
 batch: 65/120  training loss: 0.44  train accuracy: 85.80%  duration: 8.69s
 batch: 66/120  training loss: 0.41  train accuracy: 88.80%  duration: 8.19s
 batch: 67/120  training loss: 0.44  train accuracy: 87.80%  duration: 8.81s
 batch: 68/120  training loss: 0.54  train accuracy: 85.20%  duration: 8.84s
 batch: 69/120  training loss: 0.54  train accuracy: 84.40%  duration: 8.70s
 batch: 70/120  training loss: 0.53  train accuracy: 87.20%  duration: 8.55s
 batch: 71/120  training loss: 0.44  train accuracy: 85.40%  duration: 8.78s
 batch: 72/120  training loss: 0.41  train accuracy: 86.20%  duration: 8.53s
 batch: 73/120  training loss: 0.55  train accuracy: 86.20%  duration: 8.20s
 batch: 74/120  training loss: 0.50  train accuracy: 85.60%  duration: 8.35s
 batch: 75/120  training loss: 0.41  train accuracy: 87.80%  duration: 8.02s
 batch: 76/120  training loss: 0.44  train accuracy: 87.20%  duration: 8.69s
 batch: 77/120  training loss: 0.47  train accuracy: 86.20%  duration: 8.50s
 batch: 78/120  training loss: 0.47  train accuracy: 85.40%  duration: 8.23s
 batch: 79/120  training loss: 0.44  train accuracy: 88.40%  duration: 8.23s
 batch: 80/120  training loss: 0.43  train accuracy: 87.80%  duration: 8.56s
 batch: 81/120  training loss: 0.44  train accuracy: 86.80%  duration: 8.88s
 batch: 82/120  training loss: 0.45  train accuracy: 87.20%  duration: 8.71s
 batch: 83/120  training loss: 0.38  train accuracy: 89.80%  duration: 8.42s
 batch: 84/120  training loss: 0.47  train accuracy: 87.00%  duration: 8.45s
 batch: 85/120  training loss: 0.56  train accuracy: 84.60%  duration: 8.39s
 batch: 86/120  training loss: 0.49  train accuracy: 86.60%  duration: 8.58s
 batch: 87/120  training loss: 0.52  train accuracy: 85.00%  duration: 8.40s
 batch: 88/120  training loss: 0.48  train accuracy: 85.60%  duration: 8.50s
 batch: 89/120  training loss: 0.46  train accuracy: 87.60%  duration: 8.19s
 batch: 90/120  training loss: 0.46  train accuracy: 86.40%  duration: 8.39s
 batch: 91/120  training loss: 0.49  train accuracy: 86.40%  duration: 8.64s
 batch: 92/120  training loss: 0.44  train accuracy: 85.00%  duration: 8.39s
 batch: 93/120  training loss: 0.46  train accuracy: 87.00%  duration: 8.38s
 batch: 94/120  training loss: 0.45  train accuracy: 87.00%  duration: 8.68s
 batch: 95/120  training loss: 0.44  train accuracy: 86.40%  duration: 8.81s
 batch: 96/120  training loss: 0.46  train accuracy: 87.00%  duration: 8.38s
 batch: 97/120  training loss: 0.43  train accuracy: 88.00%  duration: 8.24s
 batch: 98/120  training loss: 0.48  train accuracy: 86.00%  duration: 8.60s
 batch: 99/120  training loss: 0.48  train accuracy: 85.60%  duration: 8.44s
 batch: 100/120  training loss: 0.46  train accuracy: 86.80%  duration: 8.86s
 batch: 101/120  training loss: 0.41  train accuracy: 89.60%  duration: 8.63s
 batch: 102/120  training loss: 0.49  train accuracy: 84.60%  duration: 8.30s
 batch: 103/120  training loss: 0.50  train accuracy: 84.40%  duration: 8.29s
 batch: 104/120  training loss: 0.50  train accuracy: 86.80%  duration: 8.34s
